City,State,Top Dataset,Subject,# of Hits
Fort Worth,TX,Development Permits,Permits,"36,111"
Dallas,TX,DPD Active Calls for Northeast Division,Police Department,"538,542"
Austin,TX,Top-10-Searches-Chart,City,"119,854"
San Francisco,CA,Film Locations in San Francisco,City,"97,972"
New Orleans,LA,Code Enforcement Hearings Detail,Code,"43,282"
Seattle,WA,Road Weather Information Stations,Transportation,"188,978"
Somerville,MA,311 Consituent Services Daily Calls,City,"2,339"
Edmonton,Canada,Traffic Disruptions - Map View,Transportation,"113,528"
Belleville,IL,Belleville Crime Blotter,Police Department,"1,004"
Baltimore,MD,Baltimore Fixed Speed Cameras,Police Department,"58,118"
Boston,MA,Approved Building Permits,Permits,"7,738,240"
Burlington,VT,Police Incident Log,Police Department,"3,108"
na,IL,Trees Owned by City of Champaign,City,"2,000"
Chicago,IL,"Current Employee Names, Salaries, and Position Titles",Salaries,"803,342"
Cook County,IL,Procurement- Awarded Contracts & Amendments,Finance,"64,866"
Honolulu,HI,Crime Incidents,Police Department,"21,173"
Kansas City,MS,Local Severe Weather Warning Systems in Missouri,Weather,"650,159"
King County,WA,"Home Page Events, List view",City,"358,531"
Las Vegas,NV,Las Vegas Street Names,City,"4,031"
Los Angeles,CA,eCheckbook Data,Finance,"18,211"
Madison,WI,Map: Madison Police Calls for Service,Police Department,"19,847"
Montgomery,MD,Parking Garage Space Availability,Transportation,"316,858"
New York City,NY,DOB Job Application Filings,City,"1,348,673"
Providence,RI,2013 Residential Assessment,Properties,"23,744"
San Mateo County,CA,Job Classification Tabke: Table View,Salaries,"39,285"
Raleigh,NC,"Police Crime Incident Data from Jan 1, 2005-Present",Police Department,"10,684"
Rockford,IL,Rockford Police Dept 72hr Dispatch Call Log,Police Department,"12,627"
Fort Worth,TX,Code Compliance Violations,Code,"21,859"
Dallas,TX,DPD Active Calls for Central Division,Police Department,"325,762"
Austin,TX,Off-Leash Areas,Animals,"64,847"
San Francisco,CA,Crime Incidents Map,Police Department,"72,559"
New Orleans,LA,Calls for Service 2013,Police Department,"42,895"
Seattle,WA,Seattl Police Department 911 Incident Response,Police Department,"110,690"
Somerville,MA,311 Daily Service Requests,City,"2,092"
Edmonton,Canada,City of Edmonton- Ward Boundaries,City,"109,119"
Belleville,IL,IDPH Ambulatory Surgical Treatment Center Map,Public Health,416
Baltimore,MD,BPD Part 1 Victim Based Crime Data,Police Department,"46,962"
Boston,MA,Crime Incident Reports (July 2012-Aug 2015),Police Department,"56,361"
Burlington,VT,Public Works Inspection Services Division Permits,Permits,"2,202"
na,IL,Map of Trees Owned by the City of Champaign,,"1,631"
Chicago,IL,Beach Weather Stations- Automated Sensors- Humidity,City,"515,130"
Cook County,IL,Comptroller- Annual Salaries 2014- Aug 28,Salaries,"55,128"
Honolulu,HI,Sam's View,Finance,"7,698"
Kansas City,MS,"Missouri Beer, Wine, and Liquor Wholesaler List with Zip Code",Regulatory,"618,280"
King County,WA,King County Cities that issue their own pet licences,Animals,"210,700"
Las Vegas,NV,Outstanding Arrest Warrants,Police Department,"3,978"
Los Angeles,CA,Los Angeles City Payroll Calendar,Salaries,"12,067"
Madison,WI,Assessor Property Information,Property,"17,077"
Montgomery,MD,Leaf Collection Posting Log,City,"104,025"
New York City,NY,New Driver Application Status,Transportation,"617,800"
Providence,RI,Providence Police Case Log- Past 180 days,Police Department,"14,613"
San Mateo County,CA,Affordable Housing Map,Properties,"28,001"
Raleigh,NC,Development Plans Dashboard,City,"7,931"
Rockford,IL,2013 Salary Reporting,Salaries,"6,033"
Fort Worth,TX,Crime Data,Police Department,"9,370"
Dallas,TX,Dallas Police Active Calls,Police Department,"270,186"
Austin,TX,Animal Center Found Pets Map,Animals,"61,287"
San Francisco,CA,SFPD Incidents,Police Department,"63,267"
New Orleans,LA,Calls for Service 2014,Police Department,"35,990"
Seattle,WA,Sold Fleet Equipment,City,"78,999"
Somerville,MA,ISD Building Permit Daily Applications,City,"1,722"
Edmonton,Canada,2016 Street Construction Projects (Map view),Transportation,"88,667"
Belleville,IL,Belleville's Ambulatory Surgical Treatment Center Map,Public Health,404
Baltimore,MD,Baltimore City Employee Salary,Salaries,"46,925"
Boston,MA,Property Assessment 2014,Property,"38,861"
Burlington,VT,Map: 2013 Public Works Inspection Division Permits,Permits,"2,161"
na,IL,City of Champaign Permit Data,Permits,"1,530"
Chicago,IL,Crimes- 2001 to present- Dashboard,Police Department,"467,086"
Cook County,IL,Titled Personal Property Retailed Dealers Registered with the Cook County Department of Revenue,Finance,"46,572"
Honolulu,HI,City Spending,Finance,"6,993"
Kansas City,MS,"Missouri Beer, Wine, and Liquor Solicitor List with Zip Code",Regulatory,"610,510"
King County,WA,Adult Jail Booking 2016,Police Department,"88,636"
Las Vegas,NV,City of Las Vegas Checkbook Data,Finance,"3,838"
Los Angeles,CA,LA Procurement,Finance,"5,403"
Madison,WI,Police Incident Reports,Police Department,"11,102"
Montgomery,MD,Food Inspection,Inspections,"46,017"
New York City,NY,For Hire Vehicles- Active Drivers,Transportation,"269,336"
Providence,RI,2014 Property Tax Roll,Properties,"13,982"
San Mateo County,CA,Unclaimed Checks,City,"9,611"
Raleigh,NC,All Police Incident Master Data- Heat Map,Police Department,"5,292"
Rockford,IL,Building Permits Since 2009,Permits,"2,953"
Fort Worth,TX,Code Compliance Violations- Datacard,Code Compliance,"2,331"
Dallas,TX,DPD Active Calls for Northwest Division,Police Department,"141,646"
Austin,TX,APD Incident Extract YTD,Police Department,"32,875"
San Francisco,CA,Registered Business Locations- SF,Business,"49,853"
New Orleans,LA,Code Enforcement All Hearings,Code,"23,624"
Seattle,WA,Current Fleet Surplus/Auction List,City,"71,307"
Somerville,MA,311 WO Issues (work order),City,"1,553"
Edmonton,Canada,Current Road Projects,Transporation,"65,901"
Belleville,IL,Belleville Spotcrime 201-2013 Reports,Police Department,304
Baltimore,MD,Baltimore City Government Entities- MAP,City,"41,173"
Boston,MA,Employee Earnings Report 2014,Salaries,"35,247"
Burlington,VT,Address Format,Property,"2,122"
na,IL,Parking Meter Space Map,City,"1,448"
Chicago,IL,Building Permits,Permits,"370,937"
Cook County,IL,Comptroller- Annual Salaries 2011-Sep 22,Salaries,"29,717"
Honolulu,HI,Proposed FY14 Budget,Finance,"5,877"
Kansas City,MS,2011 State Expenditures,City,"568,899"
King County,WA,Food Establishment Inspection Data,Code,"70,434"
Las Vegas,NV,Code Enforcement,Code,"3,052"
Los Angeles,CA,Payroll_Data,Salaries,"2,481"
Madison,WI,Madison Police Calls for Service,Police Department,"10,037"
Montgomery,MD,Employee Salaries-2014,Salaries,"40,883"
New York City,NY,For Hire Vehicles - Active and Inactive Vehicles,Transportation,"232,248"
Providence,RI,"Citywide Paving Projects, 2013-2015",City,"10,269"
San Mateo County,CA,Job Classification Table,Salaries,"9,569"
Raleigh,NC,Building Permits- Master,Permits,"4,268"
Rockford,IL,Rockford Crimes 2011 to Present,Police Department,"2,584"
Fort Worth,TX,Vehicle Accident Data,Transportation,"2,209"
Dallas,TX,Dxfg (Dallas Police Active Calls),Police Department,"112,079"
Austin,TX,Restaurant Inspection Scores,Inspection,"26,093"
San Francisco,CA,Case Data from San Francisco 311,City,"40,818"
New Orleans,LA,NOLA Permits,Permits,"21,960"
Seattle,WA,Seattle Police Department Police Report Incident,Police Department,"66,457"
Somerville,MA,Police- Selected Criminal Incidents,Police Department,"1,421"
Edmonton,Canada,ETS Bus Schedule GTFS Data Feed- Stop Times,Transportation,"44,178"
Belleville,IL,Belleville Parks Map,City,292
Baltimore,MD,BPD Arrests,Police Department,"40,582"
Boston,MA,311 Service Requests,City,"25,130"
Burlington,VT,Public Works Requests for Service by Type,City,"2,002"
na,IL,IDPH Population Projections 2014 Edition,City,"1,333"
Chicago,IL,Affordable Rental Housing Developments,Property,"304,317"
Cook County,IL,Comptroller Annual Salaries - 2015-November 24,Salaries,"28,187"
Honolulu,HI,Public Art,City,"4,782"
Kansas City,MS,Missouri Law Enforcement Agencies,Police Department,"567,516"
King County,WA,2010 General Election Results by precinct,City,"60,305"
Las Vegas,NV,Zoning,City,"2,718"
Los Angeles,CA,City Boundaries for Los Angeles County,City,"1,140"
Madison,WI,"Madison, Wisconsin Street Tree Map and Table View",City,"6,279"
Montgomery,MD,MC311 Service Requests,City,"28,069"
New York City,NY,Medallion Drivers- Active,Transportation,"157,840"
Providence,RI,1940 City Field Assessment Records,GIS,"6,472"
San Mateo County,CA,Checkbook Live Data,Finance,"2,761"
Raleigh,NC,Police Incident Daily Snapshot,Police Department,"4,028"
Rockford,IL,Vendor Payments,City,"2,505"
